Class,Lipid,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,baseline,corrected_intensity,peak_area,peak_start,peak_stop,peak_middle,is_special_case,n-7,n-9,n-12,db_pos,Ratio
,TG(54:2)]_FA18:1,7721.0,794.6,605.596,20.04,RBDCanola_O3on_150gN3_02082023,794.6 -> 605.596,532.5372147961838,7188.663468797567,962.4191623489777,19.799622508234442,20.279293202682833,20.035566666666668,0,712.6,684.6,642.6,n-9,4.475942028985507
TAG,TG(54:2)]_FA18:1,37838.0,904.8,605.596,20.04,RBDCanola_O3on_150gN3_02082023,904.8 -> 605.596,3260.597402436565,34577.765878813436,4310.39875521008,19.875255307976737,20.17717501166372,20.042533333333335,0,822.8,794.8,752.8,,
,TG(54:2)]_FA18:1,1725.0,822.7,605.596,19.98,RBDCanola_O3on_150gN3_02082023,822.7 -> 605.596,317.7633242717842,1407.5567440875907,352.88709434415944,19.806652204806767,20.558783810912303,19.99921666666667,0,740.7,712.7,670.7,n-7,
,TG(54:3)]_FA18:1,63686.0,792.6,603.596,18.01,RBDCanola_O3on_150gN3_02082023,792.6 -> 603.596,283.35733491198994,63402.58797758801,7379.872550556163,17.882494470198253,18.15353039323648,18.014316666666666,0,710.6,682.6,640.6,n-9,5.410415427746156
TAG,TG(54:3)]_FA18:1,297883.0,902.8,603.596,18.02,RBDCanola_O3on_150gN3_02082023,902.8 -> 603.596,3547.4131996209576,294335.24305037904,39209.95188563489,17.874326481276036,18.169033156267506,18.020833333333336,0,820.8,792.8,750.8,,
,TG(54:3)]_FA18:1,11771.0,820.7,603.596,18.01,RBDCanola_O3on_150gN3_02082023,820.7 -> 603.596,195.7302766534726,11575.290231159028,1668.9349619420927,17.811247924633427,18.1490024519418,18.01011666666667,0,738.7,710.7,668.7,n-7,
,TG(54:4)]_FA18:1,17709.0,790.6,601.596,16.12,RBDCanola_O3on_150gN3_02082023,790.6 -> 601.596,148.64819023979575,17560.752200385203,2028.336539013501,15.979323429784182,16.235477476363968,16.107216666666666,0,708.6,680.6,638.6,n-9,4.974438202247191
TAG,TG(54:4)]_FA18:1,87513.0,900.8,601.596,16.11,RBDCanola_O3on_150gN3_02082023,900.8 -> 601.596,1363.7747634445052,86149.47523655549,10247.708805202517,15.970050780649649,16.227514632635884,16.113266666666668,0,818.8,790.8,748.8,,
,TG(54:4)]_FA18:1,3560.0,818.7,601.596,16.1,RBDCanola_O3on_150gN3_02082023,818.7 -> 601.596,105.90429972759652,3454.1960420692785,558.3169588325458,15.839403566775859,16.326015480946417,16.10255,0,736.7,708.7,666.7,n-7,
,[TG(52:4)]_FA18:1,1317.0,762.6,573.596,14.33,RBDCanola_O3on_150gN3_02082023,762.6 -> 573.596,257.22830818733485,1059.8317504064153,175.46902020337063,14.162304061276318,14.543572472183408,14.333816666666667,0,680.6,652.6,610.6,n-9,2.676829268292683
TAG,[TG(52:4)]_FA18:1,6939.0,872.8,573.596,14.34,RBDCanola_O3on_150gN3_02082023,872.8 -> 573.596,105.04899614507929,6834.231277292421,1026.307647626081,14.095821335852213,14.609111673984012,14.338516666666667,0,790.8,762.8,720.8,,
,[TG(52:4)]_FA18:1,492.0,790.7,573.596,14.31,RBDCanola_O3on_150gN3_02082023,790.7 -> 573.596,42.560001373291016,449.52004623413086,,,,,0,708.7,680.7,638.7,n-7,
,[TG(52:5)]_FA18:1,526.0,760.6,571.596,22.02,RBDCanola_O3on_150gN3_02082023,760.6 -> 571.596,164.10392116565913,361.7761447523096,,,,,0,678.6,650.6,608.6,n-9,1.5114942528735633
TAG,[TG(52:5)]_FA18:1,605.0,870.8,571.596,12.43,RBDCanola_O3on_150gN3_02082023,870.8 -> 571.596,108.70538584998575,496.134641005483,,,,,0,788.8,760.8,718.8,,
,[TG(52:5)]_FA18:1,348.0,788.6,571.596,21.85,RBDCanola_O3on_150gN3_02082023,788.6 -> 571.596,72.37353152430201,275.7664831241355,,,,,0,706.6,678.6,636.6,n-7,
TAG,[TG(52:6)]_FA18:1,462.0,868.7,569.596,22.93,RBDCanola_O3on_150gN3_02082023,868.7 -> 569.596,42.20000457763672,419.5600357055664,,,,,0,786.7,758.7,716.7,,
,[TG(52:6)]_FA18:1,426.0,786.6,569.596,21.69,RBDCanola_O3on_150gN3_02082023,786.6 -> 569.596,-975087.882036071,975513.6420763542,,,,,0,704.6,676.6,634.6,n-7,
,[TG(54:5)]_FA18:1,3415.0,788.6,599.596,14.33,RBDCanola_O3on_150gN3_02082023,788.6 -> 599.596,129.37677130387243,3285.8234240086276,429.6674733572897,14.068512429005734,14.815113043683697,14.346433333333334,0,706.6,678.6,636.6,n-9,3.8327721661054994
TAG,[TG(54:5)]_FA18:1,12850.0,898.8,599.596,14.34,RBDCanola_O3on_150gN3_02082023,898.8 -> 599.596,330.72663671179976,12518.994066413201,2464.4276987185754,14.08988955239679,14.621881110691946,14.336166666666667,0,816.8,788.8,746.8,,
,[TG(54:5)]_FA18:1,891.0,816.7,599.596,14.28,RBDCanola_O3on_150gN3_02082023,816.7 -> 599.596,232.72616327240382,658.7538782315024,184.98029306542503,14.039123560603832,14.541160717461363,14.276533333333335,0,734.7,706.7,664.7,n-7,
,[TG(54:6)]_FA18:1,587.0,786.6,597.596,19.48,RBDCanola_O3on_150gN3_02082023,786.6 -> 597.596,-894719.4024321504,895306.6625029512,,,,,0,704.6,676.6,634.6,n-9,1.05956678700361
TAG,[TG(54:6)]_FA18:1,1138.0,896.8,597.596,12.43,RBDCanola_O3on_150gN3_02082023,896.8 -> 597.596,131.080631338325,1006.4194907319875,185.8030296538879,12.317189863619042,13.028616666666666,12.428616666666667,0,814.8,786.8,744.8,,
,[TG(54:6)]_FA18:1,554.0,814.7,597.596,22.9,RBDCanola_O3on_150gN3_02082023,814.7 -> 597.596,87.47930917093962,466.76074209859166,,,,,0,732.7,704.7,662.7,n-7,
